model_name,metric_name,score,Model,Index
deepseek,Levenshtein,0.7245841035120149,deepseek,40
deepseek,BLEU,0.24030666014770521,deepseek,41
deepseek,Cosine,0.4210699337477612,deepseek,41
deepseek,Levenshtein,0.5783686197275562,deepseek,41
deepseek,BLEU,0.09835087321038516,deepseek,42
deepseek,Cosine,0.671931365823631,deepseek,42
deepseek,Levenshtein,0.5789283128167995,deepseek,42
deepseek,BLEU,0.0,deepseek,43
deepseek,Cosine,0.12229989761755714,deepseek,43
deepseek,Levenshtein,0.16043755697356432,deepseek,43
deepseek,BLEU,0.09719685617329356,deepseek,44
deepseek,Cosine,0.3926232763321666,deepseek,44
deepseek,Levenshtein,0.43864406779661014,deepseek,44
deepseek,BLEU,0.5946052253092999,deepseek,45
deepseek,Cosine,0.7266616761678584,deepseek,45
deepseek,Levenshtein,0.4647502810342059,deepseek,45
deepseek,BLEU,0.39271350886329803,deepseek,46
deepseek,Cosine,0.5329699528480738,deepseek,46
deepseek,Levenshtein,0.43711340206185567,deepseek,46
deepseek,BLEU,0.21769664707982916,deepseek,47
deepseek,Cosine,0.6876735362991145,deepseek,47
deepseek,Levenshtein,0.5599069406746802,deepseek,47
deepseek,BLEU,0.472104857949253,deepseek,48
deepseek,Cosine,0.4286383885995558,deepseek,48
deepseek,Levenshtein,0.46267827375439896,deepseek,48
deepseek,BLEU,3.593889095617604e-07,deepseek,49
deepseek,Cosine,0.2384477271294187,deepseek,49
deepseek,Levenshtein,0.2747778537252221,deepseek,49
deepseek,BLEU,0.15298570437220596,deepseek,50
deepseek,Cosine,0.583035784281384,deepseek,50
deepseek,Levenshtein,0.4510412051395658,deepseek,50
deepseek,BLEU,0.31881908540928605,deepseek,51
deepseek,Cosine,0.5448242520326537,deepseek,51
deepseek,Levenshtein,0.5538039753255655,deepseek,51
deepseek,BLEU,0.1697036709952428,deepseek,52
deepseek,Cosine,0.7391001459130387,deepseek,52
deepseek,Levenshtein,0.5768166960020116,deepseek,52
deepseek,BLEU,0.08594487050311704,deepseek,53
deepseek,Cosine,0.5253275260312623,deepseek,53
deepseek,Levenshtein,0.5399792315680166,deepseek,53
deepseek,BLEU,0.42016756815639617,deepseek,54
deepseek,Cosine,0.8467811499683617,deepseek,54
deepseek,Levenshtein,0.7016341591987348,deepseek,54
deepseek,BLEU,0.06774071509034062,deepseek,55
deepseek,Cosine,0.42128359105697843,deepseek,55
deepseek,Levenshtein,0.47945040376039527,deepseek,55
deepseek,BLEU,1.6559893960778524e-10,deepseek,56
deepseek,Cosine,0.20209181908504695,deepseek,56
deepseek,Levenshtein,0.19868708971553606,deepseek,56
deepseek,BLEU,0.445467039724682,deepseek,57
deepseek,Cosine,0.41238772399291557,deepseek,57
deepseek,Levenshtein,0.45834750085005105,deepseek,57
deepseek,BLEU,0.36145741037680496,deepseek,58
deepseek,Cosine,0.6420857006191573,deepseek,58
deepseek,Levenshtein,0.495072463768116,deepseek,58
deepseek,BLEU,0.3992754986860587,deepseek,59
deepseek,Cosine,0.7655429625089113,deepseek,59
deepseek,Levenshtein,0.7091430391844536,deepseek,59
deepseek,BLEU,0.4996210603323601,deepseek,60
deepseek,Cosine,0.6419167125042443,deepseek,60
deepseek,Levenshtein,0.4162531017369727,deepseek,60
deepseek,BLEU,0.5740065634156566,deepseek,61
deepseek,Cosine,0.5972643454305309,deepseek,61
deepseek,Levenshtein,0.4567627494456763,deepseek,61
deepseek,BLEU,0.5806865850076449,deepseek,62
deepseek,Cosine,0.6859738400913092,deepseek,62
deepseek,Levenshtein,0.6217062833978257,deepseek,62
deepseek,BLEU,0.4297977198021302,deepseek,63
deepseek,Cosine,0.8508407310626614,deepseek,63
deepseek,Levenshtein,0.7335790158248429,deepseek,63
deepseek,BLEU,0.39252782170450806,deepseek,64
deepseek,Cosine,0.7313867577610337,deepseek,64
deepseek,Levenshtein,0.6034124011652102,deepseek,64
deepseek,BLEU,0.002595020310254251,deepseek,65
deepseek,Cosine,0.20115105237420555,deepseek,65
deepseek,Levenshtein,0.45698762450950803,deepseek,65
deepseek,BLEU,0.1426544972459329,deepseek,66
deepseek,Cosine,0.3825455679060086,deepseek,66
deepseek,Levenshtein,0.582323912068192,deepseek,66
deepseek,BLEU,0.14755027081797353,deepseek,67
deepseek,Cosine,0.7731534769316325,deepseek,67
deepseek,Levenshtein,0.5888382687927107,deepseek,67
deepseek,BLEU,0.3257557850794069,deepseek,68
deepseek,Cosine,0.7018377581443741,deepseek,68
deepseek,Levenshtein,0.5506477290463556,deepseek,68
deepseek,BLEU,0.15861061321271142,deepseek,69
deepseek,Cosine,0.4479629208111523,deepseek,69
deepseek,Levenshtein,0.47888021801065284,deepseek,69
deepseek,BLEU,0.6866363063803199,deepseek,70
deepseek,Cosine,0.6081753534272457,deepseek,70
deepseek,Levenshtein,0.45430513595166166,deepseek,70
deepseek,BLEU,0.06082077664554055,deepseek,71
deepseek,Cosine,0.6858492625431849,deepseek,71
deepseek,Levenshtein,0.6567028985507246,deepseek,71
deepseek,BLEU,0.11653975141372573,deepseek,72
deepseek,Cosine,0.4819527311730862,deepseek,72
deepseek,Levenshtein,0.5051492407051841,deepseek,72
deepseek,BLEU,0.3169428204311414,deepseek,73
deepseek,Cosine,0.6314568678139572,deepseek,73
deepseek,Levenshtein,0.48423153692614773,deepseek,73
deepseek,BLEU,0.5934054280702523,deepseek,74
deepseek,Cosine,0.5994945331239508,deepseek,74
deepseek,Levenshtein,0.504076878276063,deepseek,74
